#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Pasteurella multocida","ATCC 43137","GCA_000754275.1","Complete",2.27184,40.4,"chromosome:NZ_CP008918.1/CP008918.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/275/GCA_000754275.1_ASM75427v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1"
"Francisella philomiragia subsp. philomiragia ATCC 25017","ATCC 25017","GCA_000019285.1","Complete",2.04971,32.5919,"chromosome:NC_010336.1/CP000937.1; plasmid pFPHI01:NC_010331.1/CP000938.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/285/GCA_000019285.1_ASM1928v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/285/GCF_000019285.1_ASM1928v1"
"[Haemophilus] ducreyi 35000HP","35000HP","GCA_000007945.1","Complete",1.69895,38.2,"chromosome:NC_002940.2/AE017143.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/945/GCA_000007945.1_ASM794v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/945/GCF_000007945.1_ASM794v1"
"Yersinia enterocolitica subsp. enterocolitica 8081","8081","GCA_000009345.1","Complete",4.68362,47.2508,"chromosome:NC_008800.1/AM286415.1; plasmid pYVe8081:NC_008791.1/AM286416.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/345/GCA_000009345.1_ASM934v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/345/GCF_000009345.1_ASM934v1"
"Mannheimia haemolytica M42548","M42548","GCA_000376645.1","Complete",2.73187,41,"chromosome:NC_021082.1/CP005383.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/645/GCA_000376645.1_ASM37664v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/645/GCF_000376645.1_ASM37664v1"
"Serratia marcescens subsp. marcescens Db11","Db11","GCA_000513215.1","Complete",5.1138,59.5,"chromosome I:NZ_HG326223.1/HG326223.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/215/GCA_000513215.1_DB11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/215/GCF_000513215.1_DB11"
"Proteus mirabilis HI4320","HI4320","GCA_000069965.1","Complete",4.0999,38.8761,"chromosome:NC_010554.1/AM942759.1; plasmid pHI4320:NC_010555.1/AM942760.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/965/GCA_000069965.1_ASM6996v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/965/GCF_000069965.1_ASM6996v1"
"Klebsiella oxytoca","CAV1374","GCA_001022195.1","Complete",7.22729,55.2606,"chromosome:NZ_CP011636.1/CP011636.1; plasmid pCAV1374-14:NZ_CP011627.1/CP011627.1; plasmid pCAV1374-150:NZ_CP011633.1/CP011633.1; plasmid pCAV1374-16:NZ_CP011628.1/CP011628.1; plasmid pCAV1374-1919:NZ_CP011625.1/CP011625.1; plasmid pCAV1374-228:NZ_CP011634.1/CP011634.1; plasmid pCAV1374-34:NZ_CP011629.1/CP011629.1; plasmid pCAV1374-49:NZ_CP011630.1/CP011630.1; plasmid pCAV1374-54:NZ_CP011631.1/CP011631.1; plasmid pCAV1374-6538:NZ_CP011626.1/CP011626.1; plasmid pCAV1374-84:NZ_CP011632.1/CP011632.1; plasmid pKPC_CAV1374:NZ_CP011635.1/CP011635.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/022/195/GCA_001022195.1_ASM102219v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/195/GCF_001022195.1_ASM102219v1"
"Citrobacter koseri","FDAARGOS_287","GCA_002208985.3","Complete",4.93466,53.8026,"chromosome:CP022073.2; plasmid unnamed2:CP022075.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/985/GCA_002208985.3_ASM220898v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/985/GCF_002208985.1_ASM220898v3"
"Cronobacter sakazakii","ATCC 29544","GCA_000982825.1","Complete",4.66357,56.6285,"chromosome:NZ_CP011047.1/CP011047.1; plasmid CSK29544_1p:NZ_CP011048.1/CP011048.1; plasmid CSK29544_2p:NZ_CP011049.1/CP011049.1; plasmid CSK29544_3p:NZ_CP011050.1/CP011050.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/825/GCA_000982825.1_ASM98282v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/825/GCF_000982825.1_ASM98282v1"
"Enterobacter cloacae subsp. cloacae ATCC 13047","ATCC 13047","GCA_000025565.1","Complete",5.5988,54.5971,"chromosome:NC_014121.1/CP001918.1; plasmid pECL_A:NC_014107.1/CP001919.1; plasmid pECL_B:NC_014108.1/CP001920.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/565/GCA_000025565.1_ASM2556v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/565/GCF_000025565.1_ASM2556v1"
"Moraxella catarrhalis BBH18","BBH18","GCA_000092265.1","Complete",1.86329,41.7,"chromosome:NC_014147.1/CP002005.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/265/GCA_000092265.1_ASM9226v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/265/GCF_000092265.1_ASM9226v1"
"Vibrio sp. THAF64","THAF64","GCA_009363455.1","Complete",5.8806,45.796,"chromosome:NZ_CP045355.1/CP045355.1; plasmid pTHAF64_a:NZ_CP045356.1/CP045356.1; plasmid pTHAF64_b:NZ_CP045357.1/CP045357.1; plasmid pTHAF64_c:NZ_CP045358.1/CP045358.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/363/455/GCA_009363455.1_ASM936345v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/363/455/GCF_009363455.1_ASM936345v1"
"Legionella longbeachae NSW150","NSW150","GCA_000091785.1","Complete",4.14916,37.119,"chromosome:NC_013861.1/FN650140.1; plasmid pLLO:NC_014544.1/FN650141.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/785/GCA_000091785.1_ASM9178v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/785/GCF_000091785.1_ASM9178v1"
"Aeromonas hydrophila subsp. hydrophila ATCC 7966","ATCC 7966","GCA_000014805.1","Complete",4.74445,61.5,"chromosome:NC_008570.1/CP000462.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/805/GCA_000014805.1_ASM1480v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/805/GCF_000014805.1_ASM1480v1"
"Serratia proteamaculans","336X","GCA_009660185.1","Complete",5.59326,54.9,"chromosome:NZ_CP045913.1/CP045913.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/660/185/GCA_009660185.1_ASM966018v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/660/185/GCF_009660185.1_ASM966018v1"
"Escherichia albertii","07-3866","GCA_003316815.2","Complete",5.04427,49.7649,"chromosome:NZ_CP030781.1/CP030781.2; plasmid unnamed:NZ_CP030782.1/CP030782.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/815/GCA_003316815.2_ASM331681v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/316/815/GCF_003316815.1_ASM331681v2"
"Aggregatibacter actinomycetemcomitans","624","GCA_001594265.1","Complete",2.36791,44.2,"chromosome:NZ_CP012959.1/CP012959.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/265/GCA_001594265.1_ASM159426v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/265/GCF_001594265.1_ASM159426v1"
"Escherichia fergusonii ATCC 35469","ATCC 35469T","GCA_000026225.1","Complete",4.64386,49.8834,"chromosome:NC_011740.1/CU928158.2; plasmid pEFER:NC_011743.1/CU928144.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/225/GCA_000026225.1_ASM2622v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/225/GCF_000026225.1_ASM2622v1"
"Aggregatibacter aphrophilus ATCC 33389","NCTC5906","GCA_900636915.1","Complete",2.33715,42.3,"chromosome 1:NZ_LR134327.1/LR134327.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/915/GCA_900636915.1_45532_F02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/915/GCF_900636915.1_45532_F02"
"Providencia rettgeri","RB151","GCA_001874625.1","Complete",4.88909,40.5377,"chromosome:NZ_CP017671.1/CP017671.1; plasmid unnamed:NZ_CP017672.1/CP017672.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/625/GCA_001874625.1_ASM187462v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/625/GCF_001874625.1_ASM187462v1"
"Providencia rustigianii","NCTC6933","GCA_900635875.1","Complete",3.91385,41.5,"chromosome 1:NZ_LR134189.1/LR134189.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/875/GCA_900635875.1_35661_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/875/GCF_900635875.1_35661_G01"
"Acinetobacter nosocomialis","2010S01-197","GCA_003359505.2","Complete",4.47632,38.7316,"chromosome:NZ_CP033561.1/CP033561.1; plasmid p2010S01-197-1:NZ_CP033562.1/CP033562.1; plasmid p2010S01-197-2:NZ_CP033563.1/CP033563.1; plasmid p2010S01-197-3:NZ_CP033564.1/CP033564.1; plasmid p2010S01-197-4:NZ_CP033565.1/CP033565.1; plasmid p2010S01-197-5:NZ_CP033566.1/CP033566.1; plasmid p2010S01-197-6:NZ_CP033567.1/CP033567.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/359/505/GCA_003359505.2_ASM335950v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/359/505/GCF_003359505.1_ASM335950v2"
"Acinetobacter calcoaceticus","CA16","GCA_002055515.1","Complete",4.11599,38.6886,"chromosome:NZ_CP020000.1/CP020000.1; plasmid pCA16:NZ_CP020001.1/CP020001.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/055/515/GCA_002055515.1_ASM205551v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/515/GCF_002055515.1_ASM205551v1"
"Acinetobacter junii","65","GCA_001941805.1","Complete",3.37831,38.6,"chromosome:NZ_CP019041.1/CP019041.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/805/GCA_001941805.1_ASM194180v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/805/GCF_001941805.1_ASM194180v1"
"Vibrio fluvialis","FDAARGOS_104","GCA_001558415.2","Complete",4.82773,49.8961,"chromosome 1:NZ_CP014034.2/CP014034.2; chromosome 2:NZ_CP014035.2/CP014035.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/415/GCA_001558415.2_ASM155841v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/415/GCF_001558415.2_ASM155841v2"
"Cronobacter turicensis z3032","","GCA_000027065.2","Complete",4.59909,57.2342,"chromosome:NC_013282.2/FN543093.2; plasmid pCTU1:NC_013283.1/FN543094.1; plasmid pCTU2:NC_013284.1/FN543095.1; plasmid pCTU3:NC_013285.1/FN543096.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/065/GCA_000027065.2_ASM2706v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/065/GCF_000027065.2_ASM2706v1"
"Vibrio mimicus","SCCF01","GCA_001767355.1","Complete",4.48402,46.4016,"chromosome 1:NZ_CP016383.1/CP016383.1; chromosome 2:NZ_CP016384.1/CP016384.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/767/355/GCA_001767355.1_ASM176735v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/767/355/GCF_001767355.1_ASM176735v1"
"Vibrio furnissii","FDAARGOS_777","GCA_006364355.1","Complete",4.99333,50.5938,"chromosome 1:NZ_CP040990.1/CP040990.1; chromosome 2:NZ_CP040991.1/CP040991.1; plasmid unnamed1:NZ_CP040989.1/CP040989.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/364/355/GCA_006364355.1_ASM636435v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/364/355/GCF_006364355.1_ASM636435v1"
"Acinetobacter pittii PHEA-2","PHEA-2","GCA_000191145.1","Complete",3.86253,38.8,"chromosome:NC_016603.1/CP002177.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/145/GCA_000191145.1_ASM19114v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/145/GCF_000191145.1_ASM19114v1"
"Acinetobacter haemolyticus","AN54","GCA_003430865.2","Complete",3.68107,39.5101,"chromosome:NZ_CP041224.1/CP041224.1; plasmid pAhaemAN54a:NZ_CP041228.1/CP041228.1; plasmid pAhaemAN54b:NZ_CP041226.1/CP041226.1; plasmid pAhaemAN54c:NZ_CP041225.1/CP041225.1; plasmid pAheAN54-NDM-1_pAhae:NZ_CP041229.1/CP041229.1; plasmid plUnnamed:NZ_CP041227.1/CP041227.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/430/865/GCA_003430865.2_ASM343086v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/430/865/GCF_003430865.2_ASM343086v2"
"Citrobacter freundii CFNIH1","CFNIH1","GCA_000648515.1","Complete",5.37133,52.2253,"chromosome:NZ_CP007557.1/CP007557.1; plasmid pKEC-a3c:NZ_CP007558.1/CP007558.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/515/GCA_000648515.1_ASM64851v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/515/GCF_000648515.1_ASM64851v1"
"Haemophilus parainfluenzae","M27794","GCA_003390455.1","Complete",2.14896,39.3,"chromosome:NZ_CP031477.1/CP031477.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/390/455/GCA_003390455.1_ASM339045v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/390/455/GCF_003390455.1_ASM339045v1"
"Aggregatibacter segnis ATCC 33393","NCTC10977","GCA_900476035.1","Complete",2.02283,42.6,"chromosome 1:NZ_LS483443.1/LS483443.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/035/GCA_900476035.1_53694_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/035/GCF_900476035.1_53694_C01"
"Enterobacter hormaechei subsp. steigerwaltii","DSM 16691","GCA_001729725.1","Complete",4.78248,55.6,"chromosome:NZ_CP017179.1/CP017179.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/725/GCA_001729725.1_ASM172972v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/725/GCF_001729725.1_ASM172972v1"
"Haemophilus aegyptius","NCTC8502","GCA_900475885.1","Complete",1.99326,38.3,"chromosome 1:NZ_LS483429.1/LS483429.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/885/GCA_900475885.1_49595_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/885/GCF_900475885.1_49595_C01"
"Aeromonas caviae","NCTC12244","GCA_900476005.1","Complete",4.58614,61.6,"chromosome 1:NZ_LS483441.1/LS483441.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/005/GCA_900476005.1_51438_H01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/005/GCF_900476005.1_51438_H01"
"Klebsiella aerogenes KCTC 2190","KCTC 2190","GCA_000215745.1","Complete",5.28035,54.8,"chromosome:NC_015663.1/CP002824.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/745/GCA_000215745.1_ASM21574v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/745/GCF_000215745.1_ASM21574v1"
"Pantoea agglomerans","C410P1","GCA_001709315.1","Complete",5.11524,55.0152,"chromosome:NZ_CP016889.1/CP016889.1; plasmid unnamed1:NZ_CP016890.1/CP016890.1; plasmid unnamed2:NZ_CP016891.1/CP016891.1; plasmid unnamed3:NZ_CP016892.1/CP016892.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/709/315/GCA_001709315.1_ASM170931v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/709/315/GCF_001709315.1_ASM170931v1"
"Morganella morganii subsp. morganii KT","KT","GCA_000286435.2","Complete",3.79954,51.1,"chromosome:NC_020418.1/CP004345.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/435/GCA_000286435.2_ASM28643v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/286/435/GCF_000286435.2_ASM28643v2"
"Tatumella ptyseos","NCTC11468","GCA_900478715.1","Complete",3.58823,51.6,"chromosome 1:NZ_LS483499.1/LS483499.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/715/GCA_900478715.1_31885_B02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/715/GCF_900478715.1_31885_B02"
"Pseudomonas oleovorans","T9AD","GCA_900626055.1","Complete",5.62675,64.4987,"chromosome POT9AD:NZ_LR130779.1/LR130779.1; plasmid POT9AD_p:NZ_LR130780.1/LR130780.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/626/055/GCA_900626055.1_Pseudomonas_oleovorans_T9AD","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/626/055/GCF_900626055.1_Pseudomonas_oleovorans_T9AD"
"Cronobacter malonaticus LMG 23826","LMG 23826","GCA_001277215.2","Complete",4.47376,56.8337,"chromosome:NZ_CP013940.1/CP013940.1; plasmid pCMA1:NZ_CP013941.1/CP013941.1; plasmid pCMA2:NZ_CP013942.1/CP013942.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/277/215/GCA_001277215.2_ASM127721v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/215/GCF_001277215.2_ASM127721v2"
